trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
508,False,"{'a': 0.5, 'e': 0.07886639979067495}",25,9,28.02001822990637,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
509,False,"{'a': 0.5, 'e': 0.07847305198072073}",20,11,15.860252451429233,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
510,False,"{'a': 0.5, 'e': 0.07808166600115313}",20,8,13.278255227873181,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
511,False,"{'a': 0.5, 'e': 0.07769223206730236}",20,6,23.420681853263197,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
512,False,"{'a': 0.5, 'e': 0.07730474044329974}",25,3,25.760733664563517,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
513,False,"{'a': 0.5, 'e': 0.0769191814418345}",25,8,21.633238331341687,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.5, 'e': 0.07653554542391151}",20,0,-53.97272140772112,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
515,False,"{'a': 0.5, 'e': 0.07615382279861033}",30,13,32.32296398056539,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.5, 'e': 0.07577400402284548}",20,0,9.210246120167879,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
517,False,"{'a': 0.5, 'e': 0.07539607960112776}",20,12,-5.867524148386158,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
518,False,"{'a': 0.5, 'e': 0.07502004008532698}",25,0,37.42965601309514,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
519,False,"{'a': 0.5, 'e': 0.07464587607443557}",25,0,-13.562413300971697,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
520,False,"{'a': 0.5, 'e': 0.07427357821433388}",30,0,46.4211322224129,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
521,False,"{'a': 0.5, 'e': 0.07390313719755595}",30,17,19.77605007509162,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
522,False,"{'a': 0.5, 'e': 0.0735345437630571}",20,0,10.584476352672006,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
523,False,"{'a': 0.5, 'e': 0.07316778869598221}",20,7,26.718756434030407,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
524,False,"{'a': 0.5, 'e': 0.07280286282743559}",20,4,-9.508848721074791,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
525,False,"{'a': 0.5, 'e': 0.07243975703425146}",20,5,24.468212180480343,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
526,False,"{'a': 0.5, 'e': 0.0720784622387661}",20,0,23.736034912070895,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
527,False,"{'a': 0.5, 'e': 0.07171896940859077}",20,5,11.303672455895898,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
528,False,"{'a': 0.5, 'e': 0.07136126955638605}",20,14,11.433759050624118,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
529,False,"{'a': 0.5, 'e': 0.07100535373963698}",25,20,10.012661342558992,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
530,False,"{'a': 0.5, 'e': 0.0706512130604296}",20,2,28.650575886751216,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
531,False,"{'a': 0.5, 'e': 0.07029883866522844}",20,11,-28.178243136915214,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
532,False,"{'a': 0.5, 'e': 0.06994822174465536}",25,17,14.845677070727906,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
533,False,"{'a': 0.5, 'e': 0.06959935353326901}",20,14,12.98668596405738,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
534,False,"{'a': 0.5, 'e': 0.069252225309346}",20,6,20.088098411230376,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
535,False,"{'a': 0.5, 'e': 0.06890682839466256}",25,9,28.749046166095873,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
536,False,"{'a': 0.5, 'e': 0.06856315415427791}",20,7,22.64253511278,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
537,False,"{'a': 0.5, 'e': 0.06822119399631812}",20,10,17.988866723082154,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
538,False,"{'a': 0.5, 'e': 0.06788093937176144}",25,16,17.009163942176972,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
539,False,"{'a': 0.5, 'e': 0.06754238177422452}",20,0,33.22280820800809,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
540,False,"{'a': 0.5, 'e': 0.06720551273974976}",25,13,12.118363156726923,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
541,False,"{'a': 0.5, 'e': 0.0668703238465938}",25,2,-1.0359399248593923,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
